Date,Time,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3
1299.0,46.0,0.256,0.106,242.0,1.2,0.0,0.0,1.0
149.0,806.0,0.466,0.352,237.22,2.4,0.0,2.0,0.0
284.0,46.0,0.758,0.194,238.66,3.2,0.0,1.0,0.0
185.0,846.0,1.29,0.046,240.64,5.4,1.0,0.0,18.0
1241.0,679.0,0.428,0.202,242.23,1.8,0.0,2.0,1.0
971.0,990.0,0.602,0.1,241.01,2.6,0.0,0.0,1.0
1393.0,389.0,1.206,0.302,242.1,5.0,0.0,1.0,12.0
254.0,4.0,0.182,0.12,241.84,0.8,0.0,1.0,0.0
772.0,1244.0,1.792,0.068,242.39,7.4,0.0,0.0,18.0
1024.0,796.0,0.474,0.328,242.28,2.2,0.0,1.0,1.0
1341.0,1217.0,0.602,0.1,241.01,2.6,0.0,0.0,1.0
261.0,1315.0,0.214,0.12,240.88,1.0,0.0,2.0,0.0
883.0,1295.0,0.828,0.424,241.85,3.8,0.0,2.0,1.0
722.0,68.0,2.604,0.084,237.54,11.0,0.0,0.0,17.0
648.0,819.0,1.778,0.092,237.74,7.4,0.0,0.0,18.0
22.0,644.0,0.424,0.31,245.84,2.2,0.0,0.0,0.0
164.0,950.0,0.794,0.064,232.34,3.6,0.0,0.0,0.0
1380.0,528.0,0.602,0.1,241.01,2.6,0.0,0.0,1.0
278.0,1276.0,0.204,0.104,240.49,1.0,0.0,0.0,0.0
501.0,86.0,1.526,0.314,238.38,6.4,0.0,2.0,18.0
1394.0,46.0,1.474,0.0,239.12,6.0,0.0,0.0,1.0
846.0,1334.0,0.264,0.0,244.03,1.0,0.0,0.0,1.0
40.0,1275.0,1.508,0.0,244.68,6.0,0.0,0.0,18.0
649.0,90.0,0.244,0.12,241.53,1.0,0.0,0.0,1.0
845.0,8.0,0.668,0.22,243.99,2.8,0.0,0.0,0.0
459.0,1133.0,0.242,0.0,241.77,1.0,0.0,0.0,0.0
84.0,526.0,0.224,0.0,242.6,1.0,0.0,0.0,0.0
614.0,478.0,0.174,0.148,239.51,0.8,0.0,0.0,1.0
802.0,1142.0,1.432,0.202,238.13,6.0,0.0,1.0,17.0
543.0,49.0,0.162,0.0,244.6,0.6,0.0,0.0,1.0
830.0,286.0,4.078,0.09,234.53,17.4,36.0,0.0,17.0
977.0,984.0,0.452,0.084,243.49,1.8,0.0,0.0,0.0
292.0,64.0,0.426,0.16,239.95,1.8,0.0,1.0,0.0
795.0,455.0,0.3,0.064,239.71,1.2,0.0,0.0,0.0
553.0,1363.0,3.198,0.24,238.68,13.6,0.0,26.0,18.0
791.0,502.0,0.382,0.142,241.48,2.0,0.0,0.0,0.0
756.0,1297.0,0.342,0.132,246.05,1.4,0.0,0.0,0.0
750.0,1411.0,2.48,0.364,243.03,10.2,0.0,4.0,0.0
275.0,578.0,0.212,0.088,242.7,1.0,0.0,0.0,0.0
529.0,923.0,2.058,0.0,238.97,8.6,0.0,0.0,18.0
1206.0,400.0,0.378,0.196,244.96,1.6,0.0,1.0,1.0
787.0,314.0,1.154,0.054,243.77,4.8,0.0,0.0,0.0
1386.0,579.0,0.742,0.234,241.1,3.4,0.0,0.0,7.0
732.0,532.0,0.272,0.0,244.63,1.2,0.0,0.0,0.0
935.0,611.0,0.356,0.21,241.78,1.8,0.0,2.0,1.0
942.0,666.0,0.284,0.146,242.72,1.4,0.0,0.0,1.0
